业务ID,apply_time,opertime_min,opertime_max,min_begin,max_begin
8199,56370,57238,59450,868,3080
8200,56550,57283,58939,733,2389
8201,59490,59900,61590,410,2100
8202,59670,59906,61680,236,2010
8203,59790,59919,61700,129,1910
8204,59970,60124,61283,154,1313
8206,70950,71354,71631,404,681
8207,71190,71375,71700,185,510
8208,64530,64563,31100,33,-33430
8209,41790,41803,42454,13,664
8210,53250,53270,53507,20,257
8211,53550,53556,53732,6,182
8212,53790,53798,53905,8,115
8213,55830,55837,56087,7,257
8214,55950,55974,56057,24,107
8215,58290,58279,58404,-11,114
8216,58470,58501,59520,31,1050
8217,58710,58714,58824,4,114
8218,60150,60128,60274,-22,124
8219,60330,60319,60423,-11,93
8220,63030,63009,63337,-21,307
8221,63150,63181,63498,31,348
8222,47370,47393,47704,23,334
8223,52830,52830,52978,0,148
8224,54210,54239,54367,29,157
8226,62670,69019,69024,6349,6354
8227,32490,32485,32766,-5,276
8228,32670,32691,32912,21,242
8229,42150,42141,42852,-9,702
8230,42270,42256,43340,-14,1070
8231,48930,48943,49139,13,209
8232,53010,53002,53483,-8,473
8233,54570,54542,54796,-28,226
8234,63330,63322,63538,-8,208
8235,79590,80273,80489,683,899
8236,79710,79725,80730,15,1020
8237,80070,80303,80667,233,597
8238,80370,80367,80670,-3,300
8242,81450,81854,82860,404,1410
8243,81510,81882,82174,372,664
8244,81870,81888,82293,18,423
8245,82230,82293,83380,63,1150
8246,82350,82382,82950,32,600
8247,82470,82542,83248,72,778
8248,82830,82866,83252,36,422
8249,83010,83109,83391,99,381
8250,83250,83323,83478,73,228
8251,84990,85005,85407,15,417
8252,84990,85028,85448,38,458
8253,85230,85273,85470,43,240
8254,61710,61718,61903,8,193
8255,38910,38885,39021,-25,111
8256,35430,35428,35569,-2,139
8257,35850,35844,35989,-6,139
8258,36930,36901,37254,-29,324
8259,38430,38444,39460,14,1030
8260,38730,38707,38937,-23,207
8261,38790,38789,38932,-1,142
8262,38790,38812,38944,22,154
8263,38970,38958,39129,-12,159
8264,38970,38976,39236,6,266
8265,39150,39182,40190,32,1040
8266,39630,39650,39733,20,103
8267,39690,39711,39883,21,193
8268,39750,39776,40810,26,1060
8269,39870,39855,40016,-15,146
8270,39870,39867,40079,-3,209
8271,40050,40037,40110,-13,60
8272,40350,40358,40444,8,94
8273,40950,40957,41029,7,79
8274,41250,41243,41326,-7,76
8275,41250,41260,41365,10,115
8276,41310,41293,41428,-17,118
8277,41430,41430,41589,0,159
8278,41970,41986,42093,16,123
8279,42210,42207,42376,-3,166
8280,43530,43515,43655,-15,125
8281,43770,43790,43966,20,196
8282,44010,44017,44131,7,121
8283,44190,44169,44299,-21,109
8284,47490,47497,47613,7,123
8285,47670,47665,47753,-5,83
8286,47790,47821,47949,31,159
8287,47970,47959,48069,-11,99
8288,47970,47967,48082,-3,112
8289,48150,48167,48263,17,113
8290,48450,48444,48605,-6,155
8291,49650,49624,49738,-26,88
8292,50190,50212,50339,22,149
8293,50370,50378,50487,8,117
8294,51330,51330,51413,0,83
8295,51450,51469,51597,19,147
8296,51690,51721,51833,31,143
8297,51930,51912,52026,-18,96
8298,52050,52072,52152,22,102
8299,52230,52201,52294,-29,64
8300,52350,52365,52471,15,121
8301,52590,52619,52729,29,139
8302,52890,52906,52988,16,98
8303,52950,52945,53021,-5,71
8304,53070,53069,53186,-1,116
8305,54030,54040,54152,10,122
8306,54210,54182,54233,-28,23
8307,54450,54422,54605,-28,155
8308,54750,54770,54845,20,95
8309,54810,54797,55840,-13,1030
8310,54870,54889,55090,19,220
8311,54930,54961,55096,31,166
8312,54990,54979,55130,-11,140
8313,55530,55535,55683,5,153
8314,55590,55584,55688,-6,98
8315,55830,55835,56075,5,245
8316,55890,55876,55959,-14,69
8317,55890,55886,55980,-4,90
8318,56070,56050,56139,-20,69
8319,56310,56296,56453,-14,143
8320,56610,56582,56974,-28,364
8321,56610,56591,57046,-19,436
8322,56730,56740,57125,10,395
8323,56790,56792,57138,2,348
8324,56970,57001,57177,31,207
8325,57510,57524,57627,14,117
8326,57750,57739,57849,-11,99
8327,58170,58180,58264,10,94
8328,58710,58710,58807,0,97
8329,58770,58788,58856,18,86
8330,58890,58903,59112,13,222
8331,59250,59272,59510,22,260
8332,59490,59491,59534,1,44
8333,59610,59622,59798,12,188
8334,59970,59949,60059,-21,89
8335,60030,60048,60097,18,67
8336,60090,60083,60164,-7,74
8337,60150,60137,60199,-13,49
8338,60450,60475,60624,25,174
8339,60990,60991,62080,1,1090
8340,61650,61644,62650,-6,1000
8341,62190,62196,63210,6,1020
8342,62190,62206,63240,16,1050
8343,62910,62913,62985,3,75
8344,62970,62990,63068,20,98
8345,63030,63017,63070,-13,40
8346,63150,63128,63293,-22,143
8347,63150,63169,63356,19,206
8348,63390,63386,63465,-4,75
8349,63510,63487,63524,-23,14
8350,64770,65117,65358,347,588
8351,34530,34531,34626,1,96
8352,34650,34675,34744,25,94
8353,34890,34893,35058,3,168
8354,35010,35031,35172,21,162
8355,36990,37002,37406,12,416
8356,37110,37137,37647,27,537
8357,37410,37498,38416,88,1006
8358,38010,38034,38972,24,962
8359,38670,38652,38811,-18,141
8360,38970,38941,39107,-29,137
8361,39390,39386,39657,-4,267
8362,39510,39509,39729,-1,219
8363,39810,39812,39946,2,136
8364,39930,39933,40263,3,333
8365,39930,39962,40205,32,275
8366,40050,40041,40340,-9,290
8367,41430,41449,41694,19,264
8368,41490,41504,41738,14,248
8369,41550,41564,42319,14,769
8370,41670,41692,41960,22,290
8371,41850,41848,42012,-2,162
8372,42030,42045,42160,15,130
8373,42450,42466,42758,16,308
8374,42630,42647,42874,17,244
8375,42690,42701,42889,11,199
8376,42690,42720,42906,30,216
8377,42750,42778,42925,28,175
8378,42810,42830,43041,20,231
8379,44370,44369,44541,-1,171
8380,45510,45513,45546,3,36
8381,45630,45656,45929,26,299
8382,45870,45864,46012,-6,142
8383,46110,46106,46241,-4,131
8384,47070,47069,47111,-1,41
8385,48030,48029,48172,-1,142
8386,48210,48234,48473,24,263
8387,48870,48855,49145,-15,275
8388,49050,49026,49182,-24,132
8389,49350,49353,49521,3,171
8390,49590,49603,49737,13,147
8391,49830,49855,50126,25,296
8392,50130,50159,50350,29,220
8393,50430,50456,50660,26,230
8394,50610,50632,50809,22,199
8395,51150,51132,51272,-18,122
8396,51270,51267,51392,-3,122
8397,51450,51422,51573,-28,123
8398,51510,51502,51628,-8,118
8399,51630,51658,51731,28,101
8400,51690,51671,51828,-19,138
8401,52410,52410,52491,0,81
8402,52650,52650,53660,0,1010
8403,52830,52836,53930,6,1100
8404,53370,53366,53552,-4,182
8405,53550,53521,53641,-29,91
8406,54150,54154,55160,4,1010
8407,54390,54384,54514,-6,124
8408,54930,54903,55095,-27,165
8409,55590,55565,55679,-25,89
8410,55650,55635,55774,-15,124
8411,55770,55747,55839,-23,69
8412,55890,55866,55989,-24,99
8413,58290,58282,58361,-8,71
8414,58770,58798,58925,28,155
8415,59010,59036,59175,26,165
8416,59550,59533,59647,-17,97
8417,59730,59741,60061,11,331
8418,60030,60034,60128,4,98
8419,60390,60382,60659,-8,269
8420,60750,60759,61213,9,463
8421,60930,60914,61041,-16,111
8422,61590,61585,61806,-5,216
8423,61830,61832,62035,2,205
8424,62070,62072,62350,2,280
8425,62070,62088,62228,18,158
8426,62370,62344,62467,-26,97
8427,62490,62518,62725,28,235
8428,63330,63337,63451,7,121
8429,63450,63466,63508,16,58
8430,63870,63841,64008,-29,138
8431,63990,64002,64111,12,121
8432,64530,64542,64658,12,128
8433,77310,77643,77780,333,470
8434,79710,80084,81210,374,1500
8435,80010,80099,81230,89,1220
8436,33930,33951,34980,21,1050
8437,34230,34249,34662,19,432
8438,34650,34668,34858,18,208
8439,35970,35982,36167,12,197
8440,36150,36133,36815,-17,665
8441,37170,37163,37329,-7,159
8442,37230,37253,37443,23,213
8443,37350,37330,37494,-20,144
8444,37470,37454,37578,-16,108
8445,37470,37474,37610,4,140
8446,37470,37502,37679,32,209
8447,37650,37673,37769,23,119
8448,38130,38144,38254,14,124
8449,38310,38302,38421,-8,111
8450,38490,38469,38598,-21,108
8451,39150,39155,39394,5,244
8452,39690,39706,40120,16,430
8453,39990,39982,40250,-8,260
8454,39990,40075,40276,85,286
8455,40290,40269,40427,-21,137
8456,40950,40929,41084,-21,134
8457,40950,40945,41087,-5,137
8458,41250,41371,41426,121,176
8459,41490,41493,41597,3,107
8460,41670,41649,41749,-21,79
8461,42270,42298,42630,28,360
8462,42330,42477,42647,147,317
8463,42750,42724,43267,-26,517
8464,44130,44158,45200,28,1070
8465,44670,44685,44819,15,149
8466,45030,45050,46100,20,1070
8467,45030,45101,45520,71,490
8468,45270,45335,46350,65,1080
8469,45870,45892,46211,22,341
8470,45870,45926,46240,56,370
8471,46050,46040,46334,-10,284
8472,46170,46144,46342,-26,172
8473,46290,46279,46440,-11,150
8474,46830,46828,47189,-2,359
8475,49530,49553,50620,23,1090
8476,50010,50004,51110,-6,1100
8477,50550,50576,51630,26,1080
8478,50730,50751,51800,21,1070
8479,50730,50764,51066,34,336
8480,50910,50891,51216,-19,306
8481,51390,51366,51903,-24,513
8482,51510,51540,52570,30,1060
8483,51690,51678,51848,-12,158
8484,51690,51705,51864,15,174
8485,51870,51845,51915,-25,45
8486,52110,52081,53140,-29,1030
8487,52170,52159,52482,-11,312
8488,52170,52201,52486,31,316
8489,52290,52283,52489,-7,199
8490,53010,53021,53181,11,171
8491,53490,53484,53737,-6,247
8492,53790,53776,53916,-14,126
8493,53910,53917,54037,7,127
8494,54090,54089,54258,-1,168
8495,54150,54179,54389,29,239
8496,54210,54219,55280,9,1070
8497,54270,54254,54483,-16,213
8498,54450,54478,54926,28,476
8499,54630,54625,54930,-5,300
8500,54690,54705,54993,15,303
8501,55170,55178,55282,8,112
8502,55410,55390,55504,-20,94
8503,56070,56077,56216,7,146
8504,56190,56216,56348,26,158
8505,56310,56320,56450,10,140
8506,57810,57789,57886,-21,76
8507,59370,59364,59470,-6,100
8508,59370,59403,59530,33,160
8509,59430,59447,59568,17,138
8510,59490,59553,59666,63,176
8511,59490,59571,59677,81,187
8512,59610,59644,59779,34,169
8513,59670,59670,59956,0,286
8514,59850,59832,60012,-18,162
8515,59850,59872,60016,22,166
8516,60390,60405,60584,15,194
8517,60510,60535,60736,25,226
8518,60870,60868,61115,-2,245
8519,61050,61063,61217,13,167
8520,61290,61304,61448,14,158
8521,61410,61390,61597,-20,187
8522,62310,62286,62501,-24,191
8523,62730,62737,62887,7,157
8524,63330,63346,63779,16,449
8525,64470,64686,65320,216,850
8526,64710,64781,65622,71,912
8527,64770,64815,65718,45,948
8528,64950,65466,65889,516,939
8529,65430,65497,65904,67,474
8530,66630,66720,67122,90,492
8531,66750,66738,67144,-12,394
8532,66810,66896,67166,86,356
8533,66870,66906,67236,36,366
8534,66930,66967,67276,37,346
8535,67770,67740,67872,-30,102
8536,38130,38145,38273,15,143
8537,39450,39434,39773,-16,323
8538,39510,39593,39711,83,201
8539,39570,39605,39718,35,148
8540,40350,40377,40623,27,273
8541,40590,40606,40849,16,259
8542,40890,40880,40937,-10,47
8543,41490,41477,41729,-13,239
8544,41670,41658,42013,-12,343
8545,41670,41689,41935,19,265
8546,41670,41708,42010,38,340
8547,41850,41870,42036,20,186
8548,42210,42231,42543,21,333
8549,42330,42355,42513,25,183
8550,42630,42660,42796,30,166
8551,43110,43108,43223,-2,113
8552,44790,44810,45130,20,340
8553,46530,46544,46762,14,232
8554,46530,46575,46869,45,339
8555,46650,46677,46788,27,138
8556,47430,47414,47703,-16,273
8557,48150,48151,48520,1,370
8558,48210,48229,48612,19,402
8559,48330,48383,48621,53,291
8560,48450,48469,48844,19,394
8561,49590,49571,49693,-19,103
8562,49770,49762,49889,-8,119
8563,50790,50764,50930,-26,140
8564,50910,50890,51940,-20,1030
8565,50910,50906,51180,-4,270
8566,51030,51122,51221,92,191
8567,51090,51138,51312,48,222
8568,51390,51413,51565,23,175
8569,51570,51555,51943,-15,373
8570,52590,52569,53171,-21,581
8571,52770,52754,52923,-16,153
8572,52770,52790,53249,20,479
8573,53070,53052,53249,-18,179
8574,53910,53887,54900,-23,990
8575,53970,53991,54178,21,208
8576,54630,54613,54773,-17,143
8577,54690,54671,54883,-19,193
8578,54810,54840,54923,30,113
8579,54930,54913,55035,-17,105
8580,55050,55045,55193,-5,143
8581,55050,55058,55204,8,154
8582,55350,55333,55454,-17,104
8583,55350,55371,55528,21,178
8584,55470,55449,55592,-21,122
8585,55590,55589,56045,-1,455
8586,55950,55949,56152,-1,202
8587,56130,56115,56290,-15,160
8588,56370,56395,56613,25,243
8589,56550,56618,56782,68,232
8590,56910,56922,57061,12,151
8591,57150,57166,57311,16,161
8592,57930,57920,58111,-10,181
8593,58170,58174,58241,4,71
8594,58290,58301,59310,11,1020
8595,58290,58361,58569,71,279
8596,58470,58465,58636,-5,166
8597,58530,58533,58642,3,112
8598,58710,58824,58952,114,242
8599,58830,58825,58969,-5,139
8600,58950,58969,59166,19,216
8601,59070,59066,59337,-4,267
8602,59190,59194,59421,4,231
8603,59310,59322,59560,12,250
8604,59310,59355,59569,45,259
8605,59370,59384,59615,14,245
8606,59370,59404,59903,34,533
8607,59550,59564,59830,14,280
8608,60090,60115,60377,25,287
8609,60450,60458,60612,8,162
8610,60510,60533,60712,23,202
8611,60750,60749,61156,-1,406
8612,60810,60809,61058,-1,248
8613,60870,60889,61455,19,585
8614,61050,61076,61390,26,340
8615,61170,61166,61496,-4,326
8616,61230,61242,61528,12,298
8617,62130,62205,62374,75,244
8618,63270,63285,63452,15,182
8619,63930,63925,64278,-5,348
8620,63990,63968,64456,-22,466
8621,64110,64206,64433,96,323
8622,64350,64359,64474,9,124
8623,64410,64444,64577,34,167
8624,64530,64524,64633,-6,103
8625,64530,64562,64692,32,162
8626,65190,65186,65297,-4,107
8627,65370,65345,65686,-25,316
8628,65850,65839,66037,-11,187
8629,65970,66037,66202,67,232
8630,66450,66467,66564,17,114
8631,66750,66750,66938,0,188
8632,66870,66938,67114,68,244
8633,68490,68467,68894,-23,404
8634,68610,68695,68921,85,311
8635,68910,68926,69109,16,199
8636,69150,69163,69288,13,138
8637,69510,69488,69650,-22,140
8638,69690,69671,70700,-19,1010
8639,70230,70218,71240,-12,1010
8640,71010,71010,71169,0,159
8641,72090,72121,72197,31,107
8642,72270,72279,72442,9,172
8643,36510,36508,36605,-2,95
8644,36990,36999,37086,9,96
8645,37110,37105,37268,-5,158
8646,37470,37484,37610,14,140
8647,37950,37979,38144,29,194
8648,38130,38150,38276,20,146
8649,38130,38179,38324,49,194
8650,38250,38279,38418,29,168
8651,38610,38582,38879,-28,269
8652,38730,38722,39205,-8,475
8653,39510,39484,39540,-26,30
8654,39630,39648,39760,18,130
8655,39690,39716,39917,26,227
8656,39930,39949,40105,19,175
8657,40110,40130,40246,20,136
8658,40290,40280,40440,-10,150
8659,40710,40720,40909,10,199
8660,41190,41198,41476,8,286
8661,41250,41342,41509,92,259
8662,41370,41382,41592,12,222
8663,41670,41664,41811,-6,141
8664,41670,41707,41920,37,250
8665,41910,41905,42114,-5,204
8666,42390,42383,42763,-7,373
8667,42510,42529,42975,19,465
8668,42570,42568,42715,-2,145
8669,42570,42672,42900,102,330
8670,42990,42965,43189,-25,199
8671,42990,43014,43201,24,211
8672,43050,43040,43265,-10,215
8673,43410,43437,43559,27,149
8674,43590,43589,43721,-1,131
8675,43710,43700,43858,-10,148
8676,43770,43764,43948,-6,178
8677,43950,43942,44058,-8,108
8678,44190,44211,44385,21,195
8679,44250,44325,44469,75,219
8680,44370,44384,44580,14,210
8681,44490,44478,44623,-12,133
8682,45030,45024,45113,-6,83
8683,45150,45156,45251,6,101
8684,46530,46512,46759,-18,229
8685,46650,46716,46867,66,217
8686,47430,47458,47565,28,135
8687,47670,47668,47790,-2,120
8688,48570,48573,48686,3,116
8689,48630,48616,48687,-14,57
8690,48690,48719,48790,29,100
8691,49110,49134,49254,24,144
8692,49650,49670,49940,20,290
8693,50250,50253,50367,3,117
8694,50670,50694,50793,24,123
8695,50850,50870,50962,20,112
8696,51390,51389,51443,-1,53
8697,51510,51504,51593,-6,83
8698,51510,51541,51642,31,132
8699,52590,52621,52694,31,104
8700,52830,52828,52909,-2,79
8701,52890,52899,52999,9,109
8702,52890,52914,53161,24,271
8703,53010,53014,53245,4,235
8704,53070,53084,53690,14,620
8705,53130,53146,53688,16,558
8706,53250,53266,53713,16,463
8707,53430,53404,53743,-26,313
8708,53430,53427,53760,-3,330
8709,53430,53432,53777,2,347
8710,53550,53529,53787,-21,237
8711,53550,53560,53799,10,249
8712,53910,53932,54040,22,130
8713,54030,54043,54131,13,101
8714,55350,55358,55454,8,104
8715,55530,55532,55656,2,126
8716,55950,55933,56032,-17,82
8717,56370,56380,56462,10,92
8718,56610,56624,56716,14,106
8719,56790,56782,56906,-8,116
8720,58590,58588,58680,-2,90
8721,58590,58597,58805,7,215
8722,59010,59022,59148,12,138
8723,59550,59558,60570,8,1020
8724,60030,60033,60196,3,166
8725,60090,60062,60275,-28,185
8726,60210,60204,60337,-6,127
8727,60210,60229,60340,19,130
8728,60270,60280,60413,10,143
8729,60270,60310,60425,40,155
8730,60330,60310,61350,-20,1020
8731,60630,60645,60730,15,100
8732,60930,60959,61067,29,137
8733,61110,61101,61322,-9,212
8734,61230,61242,61409,12,179
8735,61950,61982,62080,32,130
8736,64290,64311,64393,21,103
8737,64530,64503,64571,-27,41
8738,65490,65467,65618,-23,128
8739,68010,68003,68195,-7,185
8740,68130,68200,68325,70,195
8741,73590,73604,73749,14,159
8742,75150,75132,75274,-18,124
8743,77010,77202,77416,192,406
8744,77190,77220,78520,30,1330
8745,36330,36326,36409,-4,79
8746,42030,42032,42362,2,332
8747,43350,43375,43646,25,296
8748,50970,50959,51032,-11,62
8749,52950,52955,53274,5,324
8750,53010,52986,53137,-24,127
8751,55410,55394,55599,-16,189
8752,55950,55923,56930,-27,980
8753,55950,55947,56093,-3,143
8754,56310,56289,56412,-21,102
8755,56370,56378,56454,8,84
8756,56970,56974,57275,4,305
8757,57090,57124,58340,34,1250
8758,57630,57603,57785,-27,155
8759,57870,57863,57996,-7,126
8760,58650,58669,58792,19,142
8761,59070,59059,59310,-11,240
8762,60270,60295,60396,25,126
8763,60510,60512,61560,2,1050
8764,61050,61032,61126,-18,76
8765,61170,61176,61299,6,129
8766,62070,62071,62220,1,150
8767,62550,62551,62658,1,108
8768,62730,62744,62856,14,126
8769,62850,62853,63087,3,237
8770,63030,63061,63175,31,145
8771,63210,63221,63397,11,187
8772,63330,63337,63554,7,224
8773,63570,63570,63709,0,139
8774,63750,63758,63856,8,106
8775,33990,33966,34477,-24,487
8776,34050,34060,34107,10,57
8777,34170,34184,34302,14,132
8778,34350,34359,34442,9,92
8779,36870,36876,37011,6,141
8780,37230,37233,37326,3,96
8781,37650,37629,37744,-21,94
8782,37770,37765,37848,-5,78
8783,38190,38182,38302,-8,112
8784,38850,38841,38947,-9,97
8785,39750,39730,39885,-20,135
8786,39750,39796,39973,46,223
8787,39870,39865,39998,-5,128
8788,39870,39893,40022,23,152
8789,39930,39963,40071,33,141
8790,40170,40199,40329,29,159
8791,40290,40266,40372,-24,82
8792,40470,40454,40546,-16,76
8793,41070,41079,41170,9,100
8794,41970,41996,42137,26,167
8795,42150,42161,42269,11,119
8796,43050,43074,43338,24,288
8797,43230,43209,43383,-21,153
8798,43470,43503,44540,33,1070
8799,43890,43883,44013,-7,123
8800,44010,44022,44190,12,180
8801,45570,45564,45788,-6,218
8802,47190,47196,47348,6,158
8803,47850,47845,48018,-5,168
8804,47910,47940,48096,30,186
8805,48150,48125,48213,-25,63
8806,48630,48617,48682,-13,52
8807,49530,49539,49787,9,257
8808,49650,49680,49802,30,152
8809,49650,49692,49813,42,163
8810,50310,50309,50397,-1,87
8811,50370,50382,50823,12,453
8812,50430,50456,50648,26,218
8813,51330,51311,51405,-19,75
8814,51450,51438,51495,-12,45
8815,51630,51618,51710,-12,80
8816,51750,51730,51830,-20,80
8817,52890,52905,52964,15,74
8818,53010,53021,53056,11,46
8819,55050,55064,55133,14,83
8820,55470,55471,55597,1,127
8821,55470,55494,55636,24,166
8822,55650,55663,55770,13,120
8823,55710,55718,55872,8,162
8824,55830,55817,55971,-13,141
8825,55890,55884,56042,-6,152
8826,56250,56232,56353,-18,103
8827,56370,56362,56460,-8,90
8828,56550,56578,56669,28,119
8829,57030,57048,57127,18,97
8830,57090,57082,57185,-8,95
8831,57210,57194,57293,-16,83
8832,57570,57577,57673,7,103
8833,57750,57738,57845,-12,95
8834,57750,57754,57874,4,124
8835,57810,57818,57952,8,142
8836,57870,57902,57988,32,118
8837,57990,57968,58087,-22,97
8838,59190,59209,59322,19,132
8839,59370,59399,59470,29,100
8840,60150,60147,60270,-3,120
8841,60390,60404,60540,14,150
8842,62190,62180,62316,-10,126
8843,62370,62371,62461,1,91
8844,62670,62664,62752,-6,82
8845,62730,62755,62869,25,139
8846,62850,62835,62960,-15,110
8847,62910,62911,63043,1,133
8848,63510,63721,63753,211,243
8849,63990,64019,64118,29,128
8850,64170,64199,64390,29,220
8851,64350,64372,64505,22,155
8852,64590,64591,64976,1,386
8853,64890,64919,65114,29,224
8854,65070,65114,65222,44,152
8855,65190,65207,65296,17,106
8856,65850,65868,65930,18,80
8857,66270,66243,66419,-27,149
8858,67290,67278,67555,-12,265
8860,35130,35105,35292,-25,162
8861,35250,35248,35466,-2,216
8862,35790,35778,35990,-12,200
8863,35970,35995,36090,25,120
8864,36030,36041,36122,11,92
8865,36150,36178,36287,28,137
8866,36210,36224,36459,14,249
8867,36270,36257,36332,-13,62
8868,36270,36284,37360,14,1090
8869,36390,36401,36614,11,224
8870,36450,36468,36663,18,213
8871,36510,36506,36705,-4,195
8872,36630,36657,36726,27,96
8873,36870,36897,37063,27,193
8874,37050,37075,37159,25,109
8875,37050,37089,37164,39,114
8876,37110,37105,37232,-5,122
8877,37590,37599,37715,9,125
8878,37650,37677,37791,27,141
8879,38070,38063,38245,-7,175
8880,38070,38086,38168,16,98
8881,38130,38154,38309,24,179
8882,38190,38211,38338,21,148
8883,38250,38233,38351,-17,101
8884,38250,38261,38444,11,194
8885,38310,38328,38449,18,139
8886,38370,38379,38487,9,117
8887,38370,38398,38491,28,121
8888,38430,38424,38554,-6,124
8889,38550,38543,38640,-7,90
8890,38610,38639,38735,29,125
8891,40290,40317,40426,27,136
8892,40410,40426,40534,16,124
8893,40530,40546,40649,16,119
8894,41190,41186,41478,-4,288
8895,41370,41357,41457,-13,87
8896,41430,41438,41549,8,119
8897,41430,41455,41597,25,167
8898,41610,41610,41853,0,243
8899,41970,41944,42068,-26,98
8900,42030,42068,42169,38,139
8901,42330,42343,42476,13,146
8902,42570,42567,42697,-3,127
8903,42990,42990,43102,0,112
8904,43530,43526,43758,-4,228
8905,43650,43706,43936,56,286
8906,44250,44277,44495,27,245
8907,44790,44798,44924,8,134
8908,45090,45120,45266,30,176
8909,45750,45770,45870,20,120
8910,45810,45805,45950,-5,140
8911,46050,46074,46216,24,166
8912,46230,46253,46481,23,251
8913,46410,46426,46687,16,277
8914,47490,47492,47604,2,114
8915,47970,47987,48124,17,154
8916,48270,48264,48352,-6,82
8917,48270,48284,48356,14,86
8918,48390,48397,48488,7,98
8919,48870,48874,48912,4,42
8920,48870,48866,48963,-4,93
8921,48930,48918,49080,-12,150
8922,48930,48959,49027,29,97
8923,48990,48983,49135,-7,145
8924,48990,49003,49114,13,124
8925,49170,49179,49277,9,107
8926,49530,49560,49640,30,110
8927,49590,49587,49650,-3,60
8928,49590,49602,49700,12,110
8929,49710,49736,49801,26,91
8930,49770,49768,49829,-2,59
8931,49830,49829,49926,-1,96
8932,49950,49930,50045,-20,95
8933,50130,50121,50201,-9,71
8934,50310,50335,50472,25,162
8935,50790,50765,50820,-25,30
8936,50850,50853,51011,3,161
8937,50850,50872,51018,22,168
8938,51090,51065,51151,-25,61
8939,51630,51612,51798,-18,168
8940,51690,51718,51770,28,80
8941,51750,51778,51930,28,180
8942,51810,51801,51959,-9,149
8943,51870,51869,51963,-1,93
8944,51930,51918,52010,-12,80
8945,52290,52285,52556,-5,266
8946,52410,52406,52668,-4,258
8947,52530,52558,52813,28,283
8948,52530,52602,52860,72,330
8949,52710,52698,52932,-12,222
8950,52830,52823,53072,-7,242
8951,53430,53433,53786,3,356
8952,53790,53786,54002,-4,212
8953,53910,53938,54002,28,92
8954,53970,53956,54083,-14,113
8955,54090,54090,54258,0,168
8956,54150,54166,54309,16,159
8957,54330,54355,54673,25,343
8958,54390,54362,54791,-28,401
8959,55050,55069,56127,19,1077
8960,55110,55116,55346,6,236
8961,55110,55136,55397,26,287
8962,55290,55267,56390,-23,1100
8963,55290,55377,55504,87,214
8964,55350,55392,55754,42,404
8965,55410,55416,55912,6,502
8966,55470,55487,55961,17,491
8967,55530,55559,55985,29,455
8968,55590,55580,55998,-10,408
8969,55650,55633,56009,-17,359
8970,56310,56285,56396,-25,86
8971,56370,56352,56480,-18,110
8972,56490,56462,57057,-28,567
8973,56670,56661,57065,-9,395
8974,56730,56778,57194,48,464
8975,56850,56884,57102,34,252
8976,56970,56989,57223,19,253
8977,57030,57111,57240,81,210
8978,57090,57125,57219,35,129
8979,57330,57331,57538,1,208
8980,57450,57426,57642,-24,192
8981,57450,57455,57849,5,399
8982,57450,57474,57638,24,188
8983,57570,57548,57665,-22,95
8984,57570,57561,57699,-9,129
8985,57810,57791,58022,-19,212
8986,58110,58118,58176,8,66
8987,58410,58407,58523,-3,113
8988,58770,58777,58980,7,210
8989,58830,58835,58998,5,168
8990,58890,58886,59054,-4,164
8991,58890,58919,59101,29,211
8992,59190,59161,59548,-29,358
8993,59250,59252,59344,2,94
8994,59310,59288,60320,-22,1010
8995,59310,59335,59580,25,270
8996,59370,59374,59483,4,113
8997,59430,59444,59593,14,163
8998,59550,59538,59651,-12,101
8999,59550,59548,59648,-2,98
9000,59790,59796,59948,6,158
9001,59910,59926,60102,16,192
9002,60270,60261,60373,-9,103
9003,60330,60344,60497,14,167
9004,60570,60554,60622,-16,52
9005,60750,60731,60808,-19,58
9006,60750,60747,60874,-3,124
9007,60810,60829,60952,19,142
9008,60990,60968,61094,-22,104
9009,61050,61033,62050,-17,1000
9010,61170,61157,61279,-13,109
9011,61350,61358,61498,8,148
9012,61350,61378,62470,28,1120
9013,61410,61393,61653,-17,243
9014,61530,61524,61682,-6,152
